posting_id,label
synthetic-0000,1
synthetic-0001,1
synthetic-0002,0
synthetic-0003,0
synthetic-0004,1
synthetic-0005,1
synthetic-0006,0
synthetic-0007,0
synthetic-0008,0
synthetic-0009,0
synthetic-0010,0
synthetic-0011,0
synthetic-0012,0
synthetic-0013,0
synthetic-0014,0
synthetic-0015,0
synthetic-0016,0
synthetic-0017,1
synthetic-0018,0
synthetic-0019,0
synthetic-0020,0
synthetic-0021,1
synthetic-0022,1
synthetic-0023,0
synthetic-0024,1
synthetic-0025,1
synthetic-0026,1
synthetic-0027,1
synthetic-0028,0
synthetic-0029,0
synthetic-0030,1
synthetic-0031,0
synthetic-0032,0
synthetic-0033,1
synthetic-0034,0
synthetic-0035,0
synthetic-0036,0
synthetic-0037,0
synthetic-0038,1
synthetic-0039,1
synthetic-0040,1
synthetic-0041,0
synthetic-0042,0
synthetic-0043,1
synthetic-0044,0
synthetic-0045,1
synthetic-0046,0
synthetic-0047,0
synthetic-0048,1
synthetic-0049,0
synthetic-0050,0
synthetic-0051,1
synthetic-0052,0
synthetic-0053,1
synthetic-0054,0
synthetic-0055,1
synthetic-0056,1
synthetic-0057,0
synthetic-0058,0
synthetic-0059,1
synthetic-0060,1
synthetic-0061,0
synthetic-0062,1
synthetic-0063,0
synthetic-0064,1
synthetic-0065,0
synthetic-0066,1
synthetic-0067,0
synthetic-0068,0
synthetic-0069,0
synthetic-0070,1
synthetic-0071,1
synthetic-0072,0
synthetic-0073,0
synthetic-0074,0
synthetic-0075,1
synthetic-0076,0
synthetic-0077,0
synthetic-0078,0
synthetic-0079,0
synthetic-0080,0
synthetic-0081,1
synthetic-0082,0
synthetic-0083,1
synthetic-0084,1
synthetic-0085,1
synthetic-0086,0
synthetic-0087,1
synthetic-0088,0
synthetic-0089,1
synthetic-0090,0
synthetic-0091,1
synthetic-0092,1
synthetic-0093,1
synthetic-0094,1
synthetic-0095,0
synthetic-0096,0
synthetic-0097,0
synthetic-0098,0
synthetic-0099,0
synthetic-0100,0
synthetic-0101,1
synthetic-0102,1
synthetic-0103,0
synthetic-0104,1
synthetic-0105,1
synthetic-0106,1
synthetic-0107,1
synthetic-0108,1
synthetic-0109,1
synthetic-0110,0
synthetic-0111,1
synthetic-0112,0
synthetic-0113,1
synthetic-0114,1
synthetic-0115,0
synthetic-0116,1
synthetic-0117,1
synthetic-0118,1
synthetic-0119,0
synthetic-0120,0
synthetic-0121,1
synthetic-0122,1
synthetic-0123,0
synthetic-0124,0
synthetic-0125,0
synthetic-0126,0
synthetic-0127,0
synthetic-0128,1
synthetic-0129,0
synthetic-0130,1
synthetic-0131,0
synthetic-0132,1
synthetic-0133,1
synthetic-0134,1
synthetic-0135,1
synthetic-0136,1
synthetic-0137,1
synthetic-0138,0
synthetic-0139,1
synthetic-0140,1
synthetic-0141,0
synthetic-0142,0
synthetic-0143,0
synthetic-0144,1
synthetic-0145,0
synthetic-0146,0
synthetic-0147,1
synthetic-0148,1
synthetic-0149,1
synthetic-0150,0
synthetic-0151,0
synthetic-0152,0
synthetic-0153,0
synthetic-0154,0
synthetic-0155,1
synthetic-0156,0
synthetic-0157,0
synthetic-0158,1
synthetic-0159,1
synthetic-0160,1
synthetic-0161,0
synthetic-0162,0
synthetic-0163,0
synthetic-0164,0
synthetic-0165,0
synthetic-0166,0
synthetic-0167,0
synthetic-0168,0
synthetic-0169,0
synthetic-0170,0
synthetic-0171,0
synthetic-0172,0
synthetic-0173,0
synthetic-0174,1
synthetic-0175,1
synthetic-0176,0
synthetic-0177,0
synthetic-0178,0
synthetic-0179,1
synthetic-0180,1
synthetic-0181,1
synthetic-0182,0
synthetic-0183,1
synthetic-0184,0
synthetic-0185,1
synthetic-0186,1
synthetic-0187,0
synthetic-0188,0
synthetic-0189,0
synthetic-0190,1
synthetic-0191,1
synthetic-0192,1
synthetic-0193,1
synthetic-0194,0
synthetic-0195,0
synthetic-0196,1
synthetic-0197,0
synthetic-0198,0
synthetic-0199,0
